trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
51,False,"{'a': 0.5, 'e': 0.8469999999999999}",20,0,-112.40089332221875,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.8439999999999999}",25,0,-67.38242845686067,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.8409999999999999}",20,13,6.33429537478443,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.8379999999999999}",20,0,-150.90963487085386,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.8349999999999999}",25,0,-68.71477839051155,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.8319999999999999}",30,0,-130.9957910796624,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.8289999999999998}",25,0,-165.96685317762297,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.8259999999999998}",20,0,-36.86351128168665,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.8229999999999998}",20,0,-60.97877585105426,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,0,-202.40853205680557,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
61,False,"{'a': 0.5, 'e': 0.8169999999999998}",20,2,-25.208744882641216,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.8139999999999998}",25,3,-67.16571037671214,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.8109999999999998}",30,0,-86.29037814682819,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.8079999999999998}",25,0,-51.24033018572331,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.8049999999999998}",20,0,-94.98866022061058,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.8019999999999998}",30,0,-52.27622350657455,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
